-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::bmm         0.29%       8.730ms         0.40%      12.140ms      28.102us       4.319ms         0.23%       4.491ms      10.396us           0 b           0 b     483.93 Mb     483.93 Mb           432        40.269  
void at::native::(anonymous namespace)::upsample_nea...         0.00%       0.000us         0.00%       0.000us       0.000us       3.885ms         0.21%       3.885ms     215.833us           0 b           0 b           0 b           0 b            18            --  
                                              aten::cat         0.19%       5.815ms         0.29%       8.632ms      23.978us       3.769ms         0.20%       3.769ms      10.469us       6.00 Kb       6.00 Kb     763.58 Mb     763.58 Mb           360            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       3.737ms         0.20%       3.737ms       6.421us           0 b           0 b           0 b           0 b           582            --  
                                   cudaFuncSetAttribute         0.15%       4.568ms         0.15%       4.568ms       0.709us       3.207ms         0.17%       3.207ms       0.498us           0 b           0 b           0 b           0 b          6444            --  
void at::native::(anonymous namespace)::ComputeFused...         0.00%       0.000us         0.00%       0.000us       0.000us       3.009ms         0.16%       3.009ms       1.830us           0 b           0 b           0 b           0 b          1644            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       2.682ms         0.14%       2.682ms      10.159us           0 b           0 b           0 b           0 b           264            --  
void cutlass::Kernel<cutlass_75_tensorop_f16_s1688ge...         0.00%       0.000us         0.00%       0.000us       0.000us       2.213ms         0.12%       2.213ms      15.368us           0 b           0 b           0 b           0 b           144            --  
void at::native::(anonymous namespace)::upsample_nea...         0.00%       0.000us         0.00%       0.000us       0.000us       2.035ms         0.11%       2.035ms      28.264us           0 b           0 b           0 b           0 b            72            --  
void cutlass::Kernel<cutlass_75_tensorop_f16_s1688ge...         0.00%       0.000us         0.00%       0.000us       0.000us       1.579ms         0.08%       1.579ms      10.965us           0 b           0 b           0 b           0 b           144            --  
sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize160x12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.517ms         0.08%       1.517ms     252.833us           0 b           0 b           0 b           0 b             6            --  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stag...         0.00%       0.000us         0.00%       0.000us       0.000us       1.318ms         0.07%       1.318ms      54.917us           0 b           0 b           0 b           0 b            24            --  
                              aten::_local_scalar_dense         0.03%     976.000us         5.30%     160.429ms     810.247us       1.191ms         0.06%       1.191ms       6.015us           0 b           0 b           0 b           0 b           198            --  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stag...         0.00%       0.000us         0.00%       0.000us       0.000us       1.159ms         0.06%       1.159ms      16.097us           0 b           0 b           0 b           0 b            72            --  
                                         aten::_softmax         0.09%       2.799ms         0.14%       4.226ms      19.565us       1.114ms         0.06%       1.156ms       5.352us           0 b           0 b     300.09 Mb     300.09 Mb           216            --  
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s1...         0.00%       0.000us         0.00%       0.000us       0.000us       1.076ms         0.06%       1.076ms       4.483us           0 b           0 b           0 b           0 b           240            --  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us     965.000us         0.05%     965.000us       6.701us           0 b           0 b           0 b           0 b           144            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     962.000us         0.05%     962.000us      10.021us           0 b           0 b           0 b           0 b            96            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     948.000us         0.05%     948.000us      39.500us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     801.000us         0.04%     801.000us       1.608us           0 b           0 b           0 b           0 b           498            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     797.000us         0.04%     797.000us       3.690us           0 b           0 b           0 b           0 b           216            --  
                                          aten::sigmoid         0.07%       2.268ms         0.11%       3.423ms      15.847us     677.000us         0.04%     678.000us       3.139us           0 b           0 b     321.61 Mb     321.61 Mb           216            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     677.000us         0.04%     677.000us       3.134us           0 b           0 b           0 b           0 b           216            --  
void implicit_convolve_sgemm<__half, __half, 1024, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     594.000us         0.03%     594.000us      19.800us           0 b           0 b           0 b           0 b            30            --  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.09%       2.595ms         0.09%       2.595ms       0.764us     585.000us         0.03%     585.000us       0.172us           0 b           0 b           0 b           0 b          3396            --  
void tensorTransformGeneric<__half, __half, float, t...         0.00%       0.000us         0.00%       0.000us       0.000us     572.000us         0.03%     572.000us      19.067us           0 b           0 b           0 b           0 b            30            --  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us     550.000us         0.03%     550.000us      22.917us           0 b           0 b           0 b           0 b            24            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     493.000us         0.03%     493.000us       0.903us           0 b           0 b           0 b           0 b           546            --  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     483.000us         0.03%     483.000us      26.833us           0 b           0 b           0 b           0 b            18            --  
void cutlass::Kernel<cutlass_75_wmma_tensorop_f16_s1...         0.00%       0.000us         0.00%       0.000us       0.000us     288.000us         0.02%     288.000us       4.000us           0 b           0 b           0 b           0 b            72            --  
