-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
            tvmgen_default_fused_nn_conv2d_add_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.267ms         0.39%       6.267ms     208.900us           0 b           0 b            30  
        tvmgen_default_fused_nn_conv2d_add_add_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.261ms         0.39%       6.261ms       1.044ms           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_24_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.237ms         0.39%       6.237ms     173.250us           0 b           0 b            36  
            tvmgen_default_fused_nn_conv2d_add_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.200ms         0.38%       6.200ms     206.667us           0 b           0 b            30  
          tvmgen_default_fused_nn_batch_matmul_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.881ms         0.37%       5.881ms      98.017us           0 b           0 b            60  
       tvmgen_default_fused_nn_conv2d_add_add_17_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.946ms         0.31%       4.946ms     412.167us           0 b           0 b            12  
          tvmgen_default_fused_nn_batch_matmul_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.456ms         0.28%       4.456ms     148.533us           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.388ms         0.27%       4.388ms     146.267us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_4_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us       4.364ms         0.27%       4.364ms     145.467us           0 b           0 b            30  
       tvmgen_default_fused_nn_conv2d_add_add_10_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.316ms         0.27%       4.316ms     239.778us           0 b           0 b            18  
         tvmgen_default_fused_nn_batch_matmul_30_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.151ms         0.26%       4.151ms     691.833us           0 b           0 b             6  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us       4.114ms         0.26%       4.114ms     685.667us           0 b           0 b             6  
            tvmgen_default_fused_nn_conv2d_add_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.754ms         0.23%       3.754ms     625.667us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_multiply_add_2_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.733ms         0.23%       3.733ms     124.433us           0 b           0 b            30  
       tvmgen_default_fused_nn_conv2d_add_add_13_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.590ms         0.22%       3.590ms     598.333us           0 b           0 b             6  
