-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1...         0.00%       0.000us         0.00%       0.000us       0.000us     551.000us         0.12%     551.000us      91.833us           0 b           0 b           0 b           0 b             6            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us     528.000us         0.12%     528.000us      88.000us           0 b           0 b           0 b           0 b             6            --  
void splitKreduce_kernel<32, 16, int, float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us     474.000us         0.11%     474.000us       1.837us           0 b           0 b           0 b           0 b           258            --  
cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4...         0.00%       0.000us         0.00%       0.000us       0.000us     366.000us         0.08%     366.000us      61.000us           0 b           0 b           0 b           0 b             6            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_6...         0.00%       0.000us         0.00%       0.000us       0.000us     264.000us         0.06%     264.000us      22.000us           0 b           0 b           0 b           0 b            12            --  
                               aten::upsample_nearest2d         0.08%     370.000us         0.11%     519.000us      28.833us     215.000us         0.05%     215.000us      11.944us           0 b           0 b      97.50 Mb      97.50 Mb            18            --  
void at::native::(anonymous namespace)::upsample_nea...         0.00%       0.000us         0.00%       0.000us       0.000us     215.000us         0.05%     215.000us      11.944us           0 b           0 b           0 b           0 b            18            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     198.000us         0.04%     198.000us       5.500us           0 b           0 b           0 b           0 b            36            --  
void cublasLt::epilogue::impl::globalKernel<8, 32, f...         0.00%       0.000us         0.00%       0.000us       0.000us     178.000us         0.04%     178.000us       1.561us           0 b           0 b           0 b           0 b           114            --  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     165.000us         0.04%     165.000us      27.500us           0 b           0 b           0 b           0 b             6            --  
